model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.8,3.0,0.0,0.47055602073669434,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,1.0,0.0,0.4477412700653076,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,1.0,0.0,0.4477412700653076,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,1.0,0.2,0.4468129873275757,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,1.0,0.2,0.4468129873275757,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,1.0,0.0,0.418654203414917,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,1.0,0.2,0.418654203414917,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,1.0,0.0,0.418654203414917,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,1.0,0.2,0.418654203414917,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.9,1.0,0.0,0.41148051619529724,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.9,1.0,0.0,0.41148051619529724,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,50,3,0.03,2.0,0.9,0.8,3.0,0.0,0.40735769271850586,29,18,5,139,0.8529411764705882,0.8853503184713376
xgboost,0.0,0,0,50,4,0.03,2.0,0.9,0.8,3.0,0.0,0.40735769271850586,29,18,5,139,0.8529411764705882,0.8853503184713376
